39a,སོ་དགུ་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360081.tif/full/max/0/default.png
39b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360082.tif/full/max/0/default.png
40a,བཞི་བཅུ་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360083.tif/full/max/0/default.png
40b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360084.tif/full/max/0/default.png
41a,ཞེ་གཅིག་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360085.tif/full/max/0/default.png
41b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360086.tif/full/max/0/default.png
42a,ཞེ་གཉིས་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360087.tif/full/max/0/default.png
42b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360088.tif/full/max/0/default.png
43a,ཞེ་གསུམ་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360089.tif/full/max/0/default.png
43b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360090.tif/full/max/0/default.png
44a,ཞེ་བཞི་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360091.tif/full/max/0/default.png
44b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360092.tif/full/max/0/default.png
45a,ཞེ་ལྔ་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360093.tif/full/max/0/default.png
45b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360094.tif/full/max/0/default.png
46a,ཞེ་དྲུག་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360095.tif/full/max/0/default.png
46b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360096.tif/full/max/0/default.png
47a,ཞེ་བདུན་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360097.tif/full/max/0/default.png
47b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360098.tif/full/max/0/default.png
48a,ཞེ་བརྒྱད་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360099.tif/full/max/0/default.png
48b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360100.tif/full/max/0/default.png
49a,ཞེ་དགུ་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360101.tif/full/max/0/default.png
49b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360102.tif/full/max/0/default.png
50a,ལྔ་བཅུ་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360103.tif/full/max/0/default.png
50b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360104.tif/full/max/0/default.png
51a,ང་གཅིག་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360105.tif/full/max/0/default.png
51b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360106.tif/full/max/0/default.png
52a,ང་གཉིས་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360107.tif/full/max/0/default.png
52b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360108.tif/full/max/0/default.png
53a,ང་གསུམ་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360109.tif/full/max/0/default.png
53b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360110.tif/full/max/0/default.png
54a,ང་བཞི་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360111.tif/full/max/0/default.png
54b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360112.tif/full/max/0/default.png
55a,ང་ལྔ་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360113.tif/full/max/0/default.png
55b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360114.tif/full/max/0/default.png
56a,ང་དྲུག་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360115.tif/full/max/0/default.png
56b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360116.tif/full/max/0/default.png
57a,ང་བདུན་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360117.tif/full/max/0/default.png
57b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360118.tif/full/max/0/default.png
58a,ང་བརྒྱད་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360119.tif/full/max/0/default.png
58b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360120.tif/full/max/0/default.png
59a,ང་དགུ་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360121.tif/full/max/0/default.png
59b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360122.tif/full/max/0/default.png
60a,དྲུག་བཅུ་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360123.tif/full/max/0/default.png
60b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360124.tif/full/max/0/default.png
61a,རེ་གཅིག་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360125.tif/full/max/0/default.png
61b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360126.tif/full/max/0/default.png
62a,རེ་གཉིས་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360127.tif/full/max/0/default.png
62b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360128.tif/full/max/0/default.png
63a,རེ་གསུམ་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360129.tif/full/max/0/default.png
63b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360130.tif/full/max/0/default.png
64a,རེ་བཞི་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360131.tif/full/max/0/default.png
64b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360132.tif/full/max/0/default.png
65a,རེ་ལྔ་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360133.tif/full/max/0/default.png
65b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360134.tif/full/max/0/default.png
66a,རེ་དྲུག་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360135.tif/full/max/0/default.png
66b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360136.tif/full/max/0/default.png
67a,རེ་བདུན་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360137.tif/full/max/0/default.png
67b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360138.tif/full/max/0/default.png
68a,རེ་བརྒྱད་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360139.tif/full/max/0/default.png
68b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360140.tif/full/max/0/default.png
69a,རེ་དགུ་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360141.tif/full/max/0/default.png
69b,,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360142.tif/full/max/0/default.png
70a,བདུན་བཅུ་,https://iiif.bdrc.io/bdr:V1GS66030_I1GS66136::I1GS661360143.tif/full/max/0/default.png
