None,None,སྡེ་དགེ་ཨང་།,མགོ་ཤོག,ཤོག་གྲངས།,མཇུག་ཤོག,ཤོག་གྲངས། ,པེ་ཅིན་ཨང་།,མགོ་ཤོག ,ཤོག་གྲངས།,མཇུག་ཤོག,ཤོག་གྲངས།,སྣར་ཐང་ཨང་།,མགོ་ཤོག ,ཤོག་གྲངས།,མཇུག་ཤོག ,ཤོག་གྲངས།,ཅོ་ནེ་ཨང་།,མགོ་ཤོག,ཤོག་གྲངས།,མཇུག་ཤོག,None,གསེར་བྲིས་མའི་ཨང་།,མགོ་ཤོག,ཤོག་གྲངས།,མཇུག་ཤོག,ཤོག་གྲངས།,None
rktsid,None,dergeid,dergevolb,dergepageb,dergevole,dergepagee,pecingid,pecingvolb,pecingpageb,pecingvole,pecingpagee,narthangid,narthangvolb,narthangpageb,narthangvole,narthangpagee,coneid,conevolb,conepageb,conevole,conepagee,gandenid,gandenvolb,gandenpageb,gandenvole,gandenpagee,None
7.0,ཆོས་ཀྱི་སྐུ་ལ་གནས་པའི་ཡོན་ཏན་ཐུན་མོང་མ་ཡིན་པ་ལ་བསྟོད་པ,D1115,bstod tshogs, ka,61b6,bstod tshogs, ka,62b3,Q2007,bstod tshogs, ka,71a2,bstod tshogs, ka,72a2,N796,bstod tshogs, ka,68a1,bstod tshogs, ka,68b6,C1063,bstod tshogs, ka ,70a6,bstod tshogs, ka,71a4,GT7,bstod tshogs, ka,86a6,bstod tshogs, ka,87b1,None
10.0,ཆོས་ཀྱི་དབྱིངས་སུ་བསྟོད་པ,D1118,bstod tshogs, ka,63b5,bstod tshogs, ka,67b3,Q2010,bstod tshogs, ka,73a7,bstod tshogs, ka,77b8,N799,bstod tshogs, ka,70a3,bstod tshogs, ka,74b3,C1066,bstod tshogs, ka,72a7,bstod tshogs, ka,76b4,GT10,bstod tshogs, ka,90b1,bstod tshogs, ka,95b1,None
11.0,དཔེ་མེད་པར་བསྟོད་པ,D1119,bstod tshogs, ka,67b3,bstod tshogs, ka,68b4,Q2011,bstod tshogs, ka,77b8,bstod tshogs, ka,79a5,N800,bstod tshogs, ka,74b3,bstod tshogs, ka,75b7,C1067,bstod tshogs, ka ,76b4,bstod tshogs, ka ,77b7,GT11,bstod tshogs, ka,95b1,bstod tshogs, ka,96b6,None
12.0,འཇིག་རྟེན་ལས་འདས་པར་བསྟོད་པ,D1120,bstod tshogs, ka,68b4,bstod tshogs, ka,69b4,Q2012,bstod tshogs, ka,79a5,bstod tshogs, ka,80b2,N801,bstod tshogs, ka,75b7,bstod tshogs, ka,77a3,C1068,bstod tshogs, ka ,77b7,bstod tshogs, ka ,79a4,GT12,bstod tshogs, ka,96b6,bstod tshogs, ka,98a5,None
13.0,སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ,D1121,bstod tshogs, ka,69b5,bstod tshogs, ka,70a2,Q2013,bstod tshogs, ka,80b3,bstod tshogs, ka,80b8,N802,bstod tshogs, ka,77a4,bstod tshogs, ka,77b2,C1069,bstod tshogs, ka ,79a4,bstod tshogs, ka ,79b2,GT13,bstod tshogs, ka,98a5,bstod tshogs, ka,98b4,None
14.0,དོན་དམ་པར་བསྟོད་པ,D1122,bstod tshogs, ka,70a2,bstod tshogs, ka,70b2,Q2014,bstod tshogs, ka,81a1,bstod tshogs, ka,81b2,N803,bstod tshogs, ka,77b2,bstod tshogs, ka,78a4,C1070,bstod tshogs, ka ,79b2,bstod tshogs, ka ,80a4,GT14,bstod tshogs, ka,98b4,bstod tshogs, ka,99b1,None
15.0,སྐུ་གསུམ་ལ་བསྟོད་པ,D1123,bstod tshogs, ka,70b3,bstod tshogs, ka,71a2,Q2015,bstod tshogs, ka,81b2,bstod tshogs, ka,82a3,N804,bstod tshogs, ka,78a4,bstod tshogs, ka,78b5,C1071,bstod tshogs, ka ,80a4,bstod tshogs, ka ,80b5,GT15,bstod tshogs, ka,99b1,bstod tshogs, ka,100a4,None
16.0,སྐུ་གསུམ་ལ་བསྟོད་པ་ཞེས་བྱ་བའི་རྣམ་པར་འགྲེལ་པ,D1124,bstod tshogs, ka,71a2,bstod tshogs, ka,74b3,Q2016,bstod tshogs, ka,82a4,bstod tshogs, ka,86a8,N805,bstod tshogs, ka,78b5,bstod tshogs, ka,82b4,C1072,bstod tshogs, ka ,80b5,bstod tshogs, ka ,85a3,GT16,bstod tshogs, ka,101b1,bstod tshogs, ka,106a5,None
17.0,སེམས་ཅན་མགུ་བར་བྱ་བའི་བསྟོད་པ,D1125,bstod tshogs, ka,74b3,bstod tshogs, ka,75b1,Q2017,bstod tshogs, ka,86a8,bstod tshogs, ka,87b2,N806,bstod tshogs, ka,82b4,bstod tshogs, ka,83b5,C1073,bstod tshogs, ka ,85a3,bstod tshogs, ka ,86a5,GT17,bstod tshogs, ka,106a5,bstod tshogs, ka,107a6,None
18.0,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་བསྟོད་པ,D1127,bstod tshogs, ka,76a1,bstod tshogs, ka,76b7,Q2018,bstod tshogs, ka,87b2,bstod tshogs, ka,88b3,N807,bstod tshogs, ka,83b5,bstod tshogs, ka,84b5,C1074,bstod tshogs, ka ,86a5,bstod tshogs, ka ,87a6,GT18,bstod tshogs, ka,108a1,bstod tshogs, ka,109b2,None
19.0,བསམ་གྱིས་མི་ཁྱབ་པར་བསྟོད་པ,D1128,bstod tshogs, ka,76b7,bstod tshogs, ka,79a2,Q2019,bstod tshogs, ka,88b3,bstod tshogs, ka,91a4,N808,bstod tshogs, ka,84b6,bstod tshogs, ka,87a4,C1075,bstod tshogs, ka ,87a6,bstod tshogs, ka ,89b7,GT19,bstod tshogs, ka,109b2,bstod tshogs, ka,112a6,None
